,Date,AQI,Sample_Duration,Pollutant_Type
570,1989-10-19,27,24 HOUR,81102
571,1989-10-25,30,24 HOUR,81102
572,1989-11-06,23,24 HOUR,81102
573,1989-11-12,23,24 HOUR,81102
574,1989-11-18,21,24 HOUR,81102
575,1989-11-24,18,24 HOUR,81102
576,1989-11-30,8,24 HOUR,81102
577,1989-12-06,14,24 HOUR,81102
578,1989-12-12,18,24 HOUR,81102
579,1989-12-30,17,24 HOUR,81102
580,1990-01-05,16,24 HOUR,81102
581,1990-01-11,21,24 HOUR,81102
582,1990-01-17,9,24 HOUR,81102
583,1990-01-23,10,24 HOUR,81102
584,1990-01-29,17,24 HOUR,81102
585,1990-02-04,11,24 HOUR,81102
586,1990-02-10,13,24 HOUR,81102
587,1990-02-16,16,24 HOUR,81102
588,1990-02-22,25,24 HOUR,81102
589,1990-02-28,9,24 HOUR,81102
590,1990-03-06,31,24 HOUR,81102
591,1990-03-12,13,24 HOUR,81102
592,1990-03-18,58,24 HOUR,81102
593,1990-03-24,6,24 HOUR,81102
594,1990-03-30,7,24 HOUR,81102
595,1990-04-05,32,24 HOUR,81102
596,1990-04-11,14,24 HOUR,81102
597,1990-04-17,21,24 HOUR,81102
598,1990-04-23,17,24 HOUR,81102
599,1990-04-29,28,24 HOUR,81102
600,1990-05-05,16,24 HOUR,81102
601,1990-05-11,25,24 HOUR,81102
602,1990-05-17,28,24 HOUR,81102
603,1990-05-23,24,24 HOUR,81102
604,1990-05-29,33,24 HOUR,81102
605,1990-06-04,20,24 HOUR,81102
606,1990-06-10,12,24 HOUR,81102
607,1990-06-16,25,24 HOUR,81102
608,1990-06-22,22,24 HOUR,81102
609,1990-06-28,19,24 HOUR,81102
610,1990-07-04,22,24 HOUR,81102
611,1990-07-10,30,24 HOUR,81102
612,1990-07-16,10,24 HOUR,81102
613,1990-07-22,8,24 HOUR,81102
614,1990-07-28,14,24 HOUR,81102
615,1990-08-03,14,24 HOUR,81102
